Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Statnetts kunde,Sluttkunde,Næringstype,Dato - tilknyttet kapasitet,Kunde og tilknytningsansvarlig,Tilknyttet kapasitet totalt (MW),Tilknyttet kapasitet med ordinære vilkår (MW),Tilknyttet kapasitet med særlige vilkår (MW)
23/00867,ELB2027,Ålfoten TRA,Sogn og Sunnmøre,Linja AS,Svelgen Property AS,Datasenter,2023-03-13,Hans Olav Ween,1.6,1.6,
23/00868,ELB1995,Moskog TRA,Sogn og Sunnmøre,Linja AS,EWOS AS,Oppdrettsnæring,2025-10-06,Hans Olav Ween,6,6,
23/00871,,Ringerike TRA,Hallingdal og Ringerike,Glitre Nett AS,Aquila,Datasenter,2025-06-29,Heidi Hellesvik Ringstad,6,6,
23/00875,,Arna Transformatorstasjon TRA,Bergen og Haugalandet,BKK AS,Northern Lights,Industri,2025-05-30,Magnus Øverby Tennøe,10,10,
23/00878,,Litle Sotra TRA,Bergen og Haugalandet,BKK AS,Norgesnett,Annet forbruk,2022-12-31,Magnus Øverby Tennøe,5,5,
23/00880,,Borgund KRA/TRA,Hallingdal og Ringerike,Sygnir AS,Ionity,Transport,2024-01-30,Hans Olav Ween,5,5,
23/00916,,Tegneby TRA,"Oslo, Akershus og Østfold",Elvia As,Bastøfergen,Transport,2023-11-16,Karoline Josefine Gudbjerg,9,9,
23/00927,ELB109,Vardal TRA,Innlandet,Elvia As,Nammo Raufoss AS,Industri,2026-02-13,Heidi Hellesvik Ringstad,7,7,
23/00968,,Nye Stokmarknes transformatorstasjon TRA,Nord,Noranett AS,,Nettselskap vanlig forbruk,2023-11-27,Lars Erik Johansen,11,11,
23/00970,,Sortland TRA,Nord,Vestall AS,,Industri,2026-02-04,Lars Erik Johansen,21.4,21.4,
23/01002,,Bærheim TRA,Sør Rogaland og Agder,Lnett AS,Stavanger universitetssykehus,Annet forbruk,2025-11-05,Arne Utne,6,6,
23/01073,,Kilbotn TRA,Nord,Noranett AS,,Transport,2023-12-04,Lars Erik Johansen,2.8,2.8,
23/01152,,Fræna TRA,Midt,Elinett AS,Boreal AS,Transport,2023-08-31,Hans Olav Ween,8.5,8.5,
23/01157,,Fræna TRA,Midt,Elinett AS,Troll Housing AS,Datasenter,2020-12-31,Hans Olav Ween,20.6,20.6,
23/01161,,Fræna TRA,Midt,Elinett AS,Alminnelige kunder,Annet forbruk,2023-08-30,Hans Olav Ween,9,9,
23/01177,,Fræna TRA,Midt,Elinett AS,Salmon Evolution AS,Oppdrettsnæring,2023-08-30,Hans Olav Ween,10.7,10.7,
23/01178,,Fræna TRA,Midt,Elinett AS,Troll Housing AS,Datasenter,2019-11-14,Hans Olav Ween,6,6,
23/01179,,Fræna TRA,Midt,Elinett AS,Fjord1 AS,Transport,2020-11-11,Hans Olav Ween,5,5,
23/01229,,Ørskog TRA,Sogn og Sunnmøre,,Plug AS,Transport,2022-09-19,Hans Olav Ween,20,20,
23/01236,,Arendal TRA,Sør Rogaland og Agder,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,2023-12-30,Arne Utne,3.3,3.3,
23/01239,,Kristiansand TRA,Sør Rogaland og Agder,Glitre Nett AS,Kristiansand Havn KF - Gartnerløkka,Transport,2023-12-30,Arne Utne,9.3,9.3,
24/01502,ELB486,Bærheim TRA,Sør Rogaland og Agder,Lnett AS,Avinor,Transport,2025-09-12,Arne Utne,2,2,
24/01597,,Rjukan TRA,Telemark og Vestfold,Lede AS,Green Mountain AS,Datasenter,2025-06-29,Geir Kåsa,33,33,
24/01598,,Rjukan TRA,Telemark og Vestfold,Lede AS,Hima Seafood,Oppdrettsnæring,2024-12-30,Geir Kåsa,12,12,
24/01722,,Stølaheia TRA,Sør Rogaland og Agder,Lnett AS,Rogfast og Green Mountain,Annet forbruk,2023-12-30,Arne Utne,20.5,20.5,
25/02047,,Ålfoten TRA,Sogn og Sunnmøre,Linja AS,Smart Salmon Foods AS,Oppdrettsnæring,2025-10-13,Hans Olav Ween,3,3,
25/02503,,Kobbvatnet TRA,Helgeland og Salten,Kystnett As,Statens Vegvesen,Transport,2025-07-16,Ingvild Grøtterud Birkeland,1.5,1.5,
25/02590,ELB879,Nye Stokmarknes transformatorstasjon TRA,Nord,Noranett AS,NORDLAKS EIENDOM AS,Oppdrettsnæring,2026-06-29,Lars Erik Johansen,5.6,5.6,
26/03265,ELB1614,Kvandal TRA,Nord,Noranett AS,AN SITE 4 AS,Datasenter,2026-05-12,Lars Erik Johansen,5,5,
26/03461,ELB2214,Sortland TRA,Nord,Vestall AS,BIOMAR A.S.,Oppdrettsnæring,2026-09-08,Lars Erik Johansen,9,9,
