Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
26/03261,ELB2030,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,GULESLETTENE VINDKRAFT AS,Vindkraft,2026-02-23,2029-01-01,Hans Olav Ween,63
26/03263,ELB1683,Minne TRA,Innlandet,NO1,Elvia As,Akershus Energi Vind AS,Vindkraft,2026-07-01,2033-04-01,Heidi Hellesvik Ringstad,94
26/03323,ELB1250,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Solkraft Sør AS,Solkraft,2026-03-06,2028-01-01,Arne Utne,13.5
26/03325,ELB1362,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Solkraft Sør AS,Annen produksjon,2026-02-19,2028-01-01,Arne Utne,12
26/03360,ELB1728,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Annen produksjon,2026-03-05,2027-04-01,Karoline Josefine Gudbjerg,7.2
26/03390,ELB2092,Spanne TRA,Bergen og Haugalandet,NO2,Fagne AS,EVINY AS,Vindkraft,2026-06-24,2030-07-01,Magnus Øverby Tennøe,100
26/03399,ELB1675,Hol 1 KRA/TRA,Hallingdal og Ringerike,NO5,Føie,Hafslund Kraft AS,Vannkraft,2026-07-02,2033-04-01,Heidi Hellesvik Ringstad,94
26/03437,ELB2105,Vardal TRA,Innlandet,NO1,Elvia As,Energeia AS,Solkraft,2026-04-14,2028-10-01,Heidi Hellesvik Ringstad,10
26/03439,ELB1976,Nea KRA/TRA,Midt,NO3,Tensio AS,ANEO VIND AS,Annen produksjon,2026-05-15,2029-04-01,Christopher Aarnseth Ruud,22
26/03445,ELB932,Rendalen/Rendalen 2 KRA/TRA,Innlandet,NO1,Elvia As,Njord Vannkraft AS,Vannkraft,2026-05-27,2030-10-01,Heidi Hellesvik Ringstad,7
26/03514,ELB2324,Ertsmyra TS TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,UNCAP AS,Annen produksjon,2026-05-28,2029-01-01,Arne Utne,150
26/03519,ELB2280,Saurdal KRA/TRA,Bergen og Haugalandet,NO2,Fagne AS,UNCAP AS,Annen produksjon,2026-03-02,2028-10-01,Magnus Øverby Tennøe,80
26/03727,ELB2572,Usta KRA/TRA,Hallingdal og Ringerike,NO5,Føie,Hafslund Kraft AS,Vannkraft,2026-07-02,2035-04-01,Heidi Hellesvik Ringstad,115
26/03730,ELB2590,Snilldal Transformatorstasjon TRA,Midt,NO3,Tensio AS,STATKRAFT ENERGI AS,Vindkraft,2026-05-19,2030-10-01,Christopher Aarnseth Ruud,35
26/03747,ELB2600,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,DE NETT AS,Solkraft,2026-05-20,2028-07-01,Geir Kåsa,20
26/03757,ELB2541,Åsen transformatorstasjon - Ny Åsen Stasjon TRA,,,Fagne AS,STATKRAFT ENERGI AS,Vannkraft,2026-06-30,2034-12-28,Magnus Øverby Tennøe,210
26/03882,ELB2926,Sogndal TRA,Sogn og Sunnmøre,NO5,Sygnir AS,Årdal Kraftproduksjon AS,Vannkraft,2026-03-12,2030-10-01,Hans Olav Ween,9.6
26/03942,ELB2685,Rød TRA,Telemark og Vestfold,NO2,Lede AS,TINFOS AS,Vannkraft,2026-05-13,2032-04-01,Geir Kåsa,5.5
26/03950,ELB2635,Høyanger TRA,Sogn og Sunnmøre,NO3,Hydro Aluminium As,STATKRAFT ENERGI AS,Vannkraft,2026-05-12,2035-07-01,Hans Olav Ween,6.5
26/04012,ELB2920,Borgund KRA/TRA,Hallingdal og Ringerike,NO5,Sygnir AS,Småkraft AS,Vannkraft,2026-02-25,2029-10-01,Hans Olav Ween,8.5
26/04060,ELB2913,Samnanger TRA,Bergen og Haugalandet,NO5,BKK AS,MOBERG ENERGI AS,Vannkraft,2026-09-15,2029-04-01,Magnus Øverby Tennøe,6.2
26/04102,ELB3013,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,VESTMAR NETT AS,Vindkraft,2026-08-26,2033-10-01,Geir Kåsa,80
26/04120,ELB2886,Dalekvam TRA,Bergen og Haugalandet,NO5,Eviny Fornybar AS,Eviny Fornybar AS,Vannkraft,2026-08-28,2031-01-01,Arne Utne,355
26/04236,ELB3120,Follo TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Karmsund Group AS,Annen produksjon,2026-08-03,2027-07-01,Karoline Josefine Gudbjerg,25
26/04343,ELB3347,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,KRISTIANSAND HAVN IKS,Annen produksjon,2026-09-07,2030-01-01,Arne Utne,30
